dest_nt_domain,dest_port,dest_ip
al-tia.prod.surfshark.com,1194,172.216.15.228
de-ber.prod.surfshark.com,1194,86.38.98.58
il-tlv.prod.surfshark.com,1194,169.150.227.140
la-vte.prod.surfshark.com,1194,194.169.168.19
us-nyc.prod.surfshark.com,1443,109.204.52.66
us-chi.prod.surfshark.com,1443,195.242.212.171
mx-qro.prod.surfshark.com,1443,103.88.234.109
mc-mcm.prod.surfshark.com,1194,62.197.151.36
es-mad.prod.surfshark.com,1194,89.37.95.58
uz-tas.prod.surfshark.com,1443,94.154.124.99
us-bos.prod.surfshark.com,1194,43.225.189.114
us-ltm.prod.surfshark.com,1443,154.16.169.77
eg-cai.prod.surfshark.com,1443,62.197.147.51
im-iom.prod.surfshark.com,1443,62.197.148.67
no-osl.prod.surfshark.com,1443,185.253.97.101
pr-sju.prod.surfshark.com,1194,45.139.253.18
bd-dac.prod.surfshark.com,1194,62.197.153.51
us-clt.prod.surfshark.com,1194,191.96.101.173
us-oma.prod.surfshark.com,1194,145.223.7.21
au-syd.prod.surfshark.com,1443,95.173.193.7
np-ktm.prod.surfshark.com,1194,194.169.170.44
it-mil.prod.surfshark.com,1194,84.17.58.202
mx-qro.prod.surfshark.com,1194,103.88.234.161
ca-tor.prod.surfshark.com,1194,149.88.16.150
de-fra.prod.surfshark.com,1443,89.117.104.10
lk-cmb.prod.surfshark.com,1443,62.197.156.36
tw-tai.prod.surfshark.com,1194,89.117.42.59
lu-ste.prod.surfshark.com,1443,185.153.151.136
de-fra.prod.surfshark.com,1194,89.117.104.10
pl-waw.prod.surfshark.com,1443,45.134.212.246
