alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1787085405.2803,elite,8578.358351647,1754760403.4639,"AS50340 JSC Selectel",SELECTEL-MSK,Moscow,Europe,EU,Russia,RU,,false,"JSC Selectel",55.7487,37.6187,false,Selectel,true,Moscow,success,Europe/Moscow,101000,1786991041,1787085683.83,80,http,82.148.13.136:80,false,724.94220733643,60579,58432,50.902017460571,82.148.13.136
true,1787085683.8057,elite,4268.5719305124,1786575850.4519,"AS216154 CLODO CLOUD SERVICE CO. L.L.C",CLODO,Amsterdam,Europe,EU,"The Netherlands",NL,,true,"Clodo Cloud Service CO. L.L.C",52.3716,4.8883,false,"Clodo Cloud Service CO. L.L.C",false,"North Holland",success,Europe/Amsterdam,1012,1786574042,1787085683.8057,10808,socks4,132.243.120.54:10808,true,5356.921672821,8483,11477,42.5,132.243.120.54
true,1787084585.1268,elite,2121.5615778477,1765106004.8046,"AS212552 BitCommand LLC",BitCommand,Paris,Europe,EU,France,FR,,false,"BitCommand LLC",48.8558,2.3494,false,"Deployish Limited",true,Île-de-France,success,Europe/Paris,75001,1786967874,1787085683.7903,80,http,202.133.88.173:80,false,419.71945762634,271192,75387,78.248249316895,202.133.88.173
true,1787085484.5889,transparent,5003.4203651267,1784266212.4776,"AS28435 JAVIER TAMAYO GARCIA","JAVIER TAMAYO GARCIA",Cunduacán,"North America",NA,Mexico,MX,,false,"Javier Tamayo Garcia",18.0675,-93.1744,false,"Tamayo Telecom, S.A. de C.V",true,Tabasco,success,America/Mexico_City,86690,1786682679,1787085683.7671,999,http,153.51.241.50:999,true,7470.3016281128,24999,11026,69.393476752255,153.51.241.50
true,1787085683.7354,elite,12676.767286114,1776117579.1786,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"Hong Kong",Asia,AS,"Hong Kong",HK,,true,"Alibaba (US) Technology Co., Ltd.",22.3193,114.169,false,"Alibaba.com LLC",true,Kowloon,success,Asia/Hong_Kong,999077,1787001660,1787085683.7354,5080,socks4,47.57.242.244:5080,true,12376.58572197,288386,218395,56.90544831002,47.57.242.244
true,1787085642.9482,elite,5596.1731060991,1786329346.5301,"AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED",UCLOUD-HK-AS-AP,"Hong Kong",Asia,AS,"Hong Kong",HK,,true,"UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED",22.3193,114.169,false,"Ucloud Information Technology (hk) Limited",true,Kowloon,success,Asia/Hong_Kong,999077,1786933995,1787085683.6941,10808,socks5,165.154.20.187:10808,true,12602.09774971,34440,6123,84.904962650692,165.154.20.187
true,1787085554.5006,elite,1856.1278747121,1784556271.3562,"AS42610 OJSC National Cable Networks",NCNET-AS,Moscow,Europe,EU,Russia,RU,,false,NCNET,55.7487,37.6187,false,,false,Moscow,success,Europe/Moscow,101000,1786544966,1787085683.5015,10808,socks5,77.37.134.235:10808,true,523.00262451172,994,3913,20.256776034237,77.37.134.235
true,1787085593.3918,transparent,5926.6150034111,1785127381.2057,"AS52468 UFINET PANAMA S.A.","UFINET PANAMA S.A.",Medellín,"South America",SA,Colombia,CO,,false,"Ufinet Panama S.A.",6.2529,-75.5646,false,UFINET,true,Antioquia,success,America/Bogota,050030,1786941449,1787085683.4892,999,http,190.60.37.237:999,false,2306.0622215271,1703,14046,10.813384976824,190.60.37.237
true,1787085683.4887,anonymous,3518.9018131856,1765044124.3769,"AS2852 CESNET z.s.p.o.",CESNET2,Třeboň,Europe,EU,Czechia,CZ,,false,"CESNET z.s.p.o.",48.9901,14.7565,false,"Czech Academy of Sciences",true,"South Bohemian Region",success,Europe/Prague,"379 01",1787077709,1787085683.4887,80,http,147.231.163.133:80,false,12293.033838272,203943,33990,85.714465837021,147.231.163.133
true,1787085473.3233,elite,1729.4879180554,1776089544.4343,"AS47242 Host SpA",HOST-SPA,Milan,Europe,EU,Italy,IT,,true,"Host SpA",45.4642,9.18998,false,"Host VDC",true,Lombardy,success,Europe/Rome,20121,1786972003,1787085683.4797,1080,socks4,149.62.186.244:1080,true,9365.6718730927,663658,76763,89.632519877205,149.62.186.244
true,1787085683.4787,elite,4832.651366538,1786106370.6454,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Shenzhen Tencent Computer Systems Company Limited",1.35208,103.82,false,"Tencent Cloud Computing",false,"North West",success,Asia/Singapore,858877,1786710862,1787085683.4787,2080,socks5,43.156.201.214:2080,true,4525.3973007202,42709,8211,83.874705420267,43.156.201.214
true,1787084076.0569,elite,2493.3282788146,1710543963.6749,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Alibaba.com LLC",50.1169,8.6837,false,ALICLOUD-GM,true,Hesse,success,Europe/Berlin,60313,1786497820,1787085683.4503,3128,http,47.91.65.23:3128,true,24.02925491333,859849,279711,75.454473656499,47.91.65.23
true,1786999320.0134,elite,1760.5807954889,1776079653.542,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Macon,"North America",NA,"United States",US,,false,"Cox Communications Inc.",32.8407,-83.6324,false,"Cox Communications Inc.",true,Georgia,success,America/New_York,31202,1786964756,1787085683.3763,4145,socks4,184.182.240.211:4145,true,4166.4845943451,814177,1055,99.870588985712,184.182.240.211
